school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
SCOIL EOGHAN,2021-07-07,2024-01-22,"BATH TERRACE LANE MOVILLE CO. DONEGAL , DONEGAL , DONEGAL , F93A970",http://www.scoileoghain.ie,"https://maps.google.com/?q=55.19061,-7.0383706",20054L,SCOIL EOGHAN,PRIMARY,ORDINARY,LIAM JOSEPH MCDERMOTT,CATHOLIC,MIXED,ENGLISH,YES,NA,260,148,112,NA,NO,NA,
SCOIL EOIN,2021-07-07,2024-01-22,"BALLOONAGH TRALEE CO. KERRY , KERRY , KERRY , V92Y653",http://www.scoileointrali.com,"https://maps.google.com/?q=52.273186,-9.7110615",13615L,SCOIL EOIN BALLOONAGH,PRIMARY,ORDINARY,KIERAN O'TOOLE,CATHOLIC,MIXED,ENGLISH,NO,NA,595,286,309,NA,NO,NA,
SCOIL EOIN,2021-07-07,2024-01-22,"ARMAGH ROAD CRUMLIN DUBLIN 12 , DUBLIN , DUBLIN 12 , D12PX38",http://www.scoileoin.ie,"https://maps.google.com/?q=53.32009,-6.306905",19382V,SCOIL EOIN,SPECIAL EDUCATION,ORDINARY,DEBBIE O'NEILL,CATHOLIC,MIXED,ENGLISH,NO,NA,125,76,49,NA,NO,NA,
SCOIL EOIN,2021-07-07,2024-01-22,"GREENDALE ROAD DUBLIN 5 , DUBLIN , DUBLIN 5 , D05K5P2",http://www.scoileoinns.com,"https://maps.google.com/?q=53.38701,-6.157068",19935N,SCOIL EOIN,PRIMARY,ORDINARY,GAIL FOX,CATHOLIC,MIXED,ENGLISH,YES,NA,145,79,66,NA,NO,NA,
SCOIL EOIN BAISTE,2021-07-07,2024-01-22,"GALBALLY BALLYHOGUE ENNISCORTHY CO. WEXFORD , WEXFORD , WEXFORD , Y21HN47",http://www.galballyns.ie,"https://maps.google.com/?q=52.398586,-6.6400356",17734Q,GALBALLY NS,PRIMARY,ORDINARY,MICHAEL O'TOOLE (ACTING PRINCIPAL),CATHOLIC,MIXED,ENGLISH,YES,NA,42,24,18,NA,NO,NA,
SCOIL EOIN BAISTE,2021-07-07,2024-01-22,"UMLAGH CARRIGART CO. DONEGAL , DONEGAL , DONEGAL , F92HD88",http://www.carrigartns.ie,"https://maps.google.com/?q=55.169846,-7.801301",19252I,SCOIL EOIN BAISTE,PRIMARY,ORDINARY,BREDA MCGEEVER,CATHOLIC,MIXED,ENGLISH,YES,NA,140,69,71,NA,NO,NA,
SCOIL EOIN BÁISTE,2021-07-07,2024-01-22,"NOBBER KELLS CO. MEATH , MEATH , MEATH , A82YD58",http://www.eoinbaiste.ie,"https://maps.google.com/?q=53.8226,-6.74665",16774A,SCOIL EOIN BAISTE,PRIMARY,ORDINARY,ANNE MARIE MCKENNA,CATHOLIC,MIXED,ENGLISH,NO,NA,119,53,66,NA,NO,NA,
SCOIL EOIN NAOFA,2021-07-07,2024-01-22,"TEMPLE STREET SLIGO , SLIGO , SLIGO , F91FK20",http://stjohnssligo.com,"https://maps.google.com/?q=54.267063,-8.476768",19974A,ST JOHN'S NS SLIGO,PRIMARY,ORDINARY,BERNARD MULHERN,CATHOLIC,MIXED,ENGLISH,YES,NA,226,133,93,NA,NO,NA,
SCOIL EOIN PHOIL,2021-07-07,2024-01-22,"GREEN LANE LEIXLIP CO. KILDARE , KILDARE , KILDARE , W23FY81",http://www.scoileoinphoilleixlip.com,"https://maps.google.com/?q=53.365658,-6.5021033",19684O,SCOIL EOIN PHÓIL,PRIMARY,ORDINARY,SEAN O'BOYLE,CATHOLIC,MIXED,ENGLISH,NO,NA,276,140,136,NA,NO,NA,
SCOIL FHIACHRA SOISIR,2021-07-07,2024-01-22,"MONTROSE PARK ARTANE DUBLIN 5 , DUBLIN , DUBLIN 5 , D05W248",http://www.stfiachrasjns.com,"https://maps.google.com/?q=53.387215,-6.2266493",19496N,ST. FIACHRA'S JUNIOR SCHOOL,PRIMARY,ORDINARY,ÁINE CARBERRY,CATHOLIC,MIXED,ENGLISH,NO,NA,587,270,317,NA,NO,NA,
SCOIL FHIONÁIN,2021-07-07,2024-01-22,"BAILE CHONAILL AN FÁL CARRACH CO. DHÚN NA NGALL , DONEGAL , DONEGAL , F92FW44",http://www.scoilfhionain.ie,"https://maps.google.com/?q=55.138367,-8.096125",17704H,SCOIL FHIONÁIN,PRIMARY,ORDINARY,STIOFÁN Ó CANAINN,CATHOLIC,MIXED,ALL IRISH,YES,NA,179,105,74,NA,NO,NA,
SCOIL FHURSA,2021-07-03,2024-01-22,"MARLBOG ROAD HAGGARDSTOWN DUNDALK CO. LOUTH , LOUTH , LOUTH , A91AP98",http://www.stfurseys.com,"https://maps.google.com/?q=53.96449,-6.405139",17550G,SAINT FURSEY'S NATIONAL SCHOOL,PRIMARY,ORDINARY,CATHRIONA MOLLOY,CATHOLIC,MIXED,ENGLISH,NO,NA,236,116,120,NA,NO,NA,
SCOIL FIONNBARRA,2021-07-07,2024-01-22,"BÉAL ÁTHA AN GHAORTHAIDH CO. CHORCAÍ , CORK , CORK , P12PC04",http://scoilfhionnbarra.com,"https://maps.google.com/?q=51.85143,-9.229632",19637F,SCOIL FHIONBARRA,PRIMARY,ORDINARY,FIONNUALA NÍ CHARTHAIGH,CATHOLIC,MIXED,ALL IRISH,NO,NA,94,49,45,NA,NO,NA,
SCOIL FREASTOGAIL MUIRE,2021-07-07,2024-01-22,"COLLEGE ROAD FERMOY CO. CORK , CORK , CORK , P61N562",,"https://maps.google.com/?q=52.135166,-8.273826",17868O,PRESENTATION FERMOY,PRIMARY,ORDINARY,LEONA O CONNELL,CATHOLIC,MIXED,ENGLISH,NO,NA,246,73,173,NA,NO,NA,
SCOIL GEARBHAIN,2021-07-07,2024-01-22,"CLAIS NA LACHAN DÚN NA MAINISTREACH DÚN GARBHÁN CO. PHORT LÁIRGE , WATERFORD , WATERFORD , X35NP84",http://scoilgharbhain.ie/,"https://maps.google.com/?q=52.10064,-7.595097",19814B,SCOIL GHARBHÁIN,PRIMARY,ORDINARY,SILVIA UÍ SHEANLAOICH,CATHOLIC,MIXED,ALL IRISH,NO,NA,308,155,153,NA,NO,NA,
SCOIL GHOBNATAN,2021-07-07,2024-01-22,"BELLEVUE MALLOW CO. CORK , CORK , CORK , P51KW86",http://www.scoilghobnatan.com,"https://maps.google.com/?q=52.130096,-8.646084",19256Q,SCOIL GHOBNATAN,PRIMARY,ORDINARY,DONAL O' SHEA,CATHOLIC,MIXED,ENGLISH,YES,NA,523,271,252,NA,NO,NA,
SCOIL GHORMÁIN NAOFA,2021-07-07,2024-01-22,"CASTLETOWN INCH CO. WEXFORD , WEXFORD , WEXFORD , Y25DY05",http://castletownnationalschool.ie,"https://maps.google.com/?q=52.721863,-6.188459",17768K,CASTLETOWN NS,PRIMARY,ORDINARY,EMER RUSSELL,CATHOLIC,MIXED,ENGLISH,NO,NA,148,80,68,NA,NO,NA,
SCOIL GHRAINNE COMMUNITY NATIONAL SCHOOL,2021-07-07,2024-01-22,"PHIBBLESTOWN CLONEE DUBLIN 15 , DUBLIN , DUBLIN 15 , D15Y5PR",http://www.scoilghrainnecns.ie,"https://maps.google.com/?q=53.398106,-6.4355755",20247W,PHIBBLESTOWN NATIONAL SCHOOL,PRIMARY,NON CAPITATION SCHOOL GRANT,JONATHAN HANLEY,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,617,325,292,NA,NO,NA,
SCOIL IARLATHA NAOFA,2021-07-07,2024-01-22,"GARBALLY BALLINASLOE CO. GALWAY , GALWAY , GALWAY , H53HW42",,"https://maps.google.com/?q=53.406853,-8.6350975",17863E,GARBALLY NATIONAL SCHOOL,PRIMARY,ORDINARY,CARMEL HOADE,CATHOLIC,MIXED,ENGLISH,NO,NA,64,36,28,NA,NO,NA,
SCOIL IDE,2021-07-07,2024-01-22,"ARDNAMARA SALTHILL GALWAY , GALWAY , GALWAY , H91E4C2",http://www.scoilide.com,"https://maps.google.com/?q=53.262802,-9.081226",18634R,SCOIL ÍDE,PRIMARY,ORDINARY,CLAIRE HYNES,CATHOLIC,MIXED,ENGLISH,NO,NA,283,49,234,NA,NO,NA,
SCOIL IDE,2021-07-07,2024-01-22,"CORBALLY ROAD LIMERICK , LIMERICK , LIMERICK , V94X659",http://www.scoilide.ie,"https://maps.google.com/?q=52.67802,-8.614668",18872K,SCOIL ÍDE,PRIMARY,ORDINARY,RAY D'ARCY,CATHOLIC,MIXED,ENGLISH,NO,NA,739,386,353,NA,NO,NA,
SCOIL IDE NAOFA,2021-07-07,2024-01-22,"RAHEENAGH BALLAGH CO. LIMERICK , LIMERICK , LIMERICK , V42P288",http://www.raheenaghns.com,"https://maps.google.com/?q=52.375874,-9.043279",18426K,RAHEENAGH NATIONAL SCHOOL,PRIMARY,ORDINARY,CATHERINE MURPHY,CATHOLIC,MIXED,ENGLISH,NO,NA,80,46,34,NA,NO,NA,
SCOIL IOGNAID DE RIS,2021-07-07,2024-01-22,"STEPHEN STREET KILKENNY , KILKENNY , KILKENNY , R95EC93",https://cbsprimarykilkenny.ie/,"https://maps.google.com/?q=52.650867,-7.260769",17867M,CBS PRIMARY KILKENNY,PRIMARY,ORDINARY,NIALL BERGIN,CATHOLIC,MIXED,ENGLISH,NO,NA,198,198,0,NA,NO,NA,
SCOIL IOSA,2021-07-07,2024-01-22,"TYMON ROAD TALLAGHT DUBLIN 24 , DUBLIN , DUBLIN 24 , D24ND34",http://www.scoiliosa.ie,"https://maps.google.com/?q=53.295208,-6.340565",19577N,TYMON NORTH NATIONAL SCHOOL,PRIMARY,ORDINARY,OONAGH BRANNIFF,CATHOLIC,MIXED,ENGLISH,YES,NA,108,55,53,NA,NO,NA,
SCOIL IOSA,2021-07-07,2024-01-22,"ABBEYQUARTER BALLYHAUNIS CO. MAYO , MAYO , MAYO , F35PX94",http://www.iosaballyhaunis.com,"https://maps.google.com/?q=53.761444,-8.764836",20142I,SCOIL ÍOSA BALLYHAUNIS,PRIMARY,ORDINARY,GERARD K. DENNEDY,CATHOLIC,MIXED,ENGLISH,YES,NA,370,203,167,NA,NO,NA,
SCOIL ÍOSA,2021-07-07,2024-01-22,"CONVENT HILL BALLINA CO. MAYO , MAYO , MAYO , F26F293",http://www.scoiliosaballina.ie,"https://maps.google.com/?q=54.116184,-9.1640625",20275E,SCOIL ÍOSA,PRIMARY,ORDINARY,MICHAEL TUNNEY,CATHOLIC,MIXED,IRISH AND ENGLISH,YES,NA,200,105,95,NA,NO,NA,
SCOIL IOSAGAIN,2021-07-07,2024-01-22,"SEXTON STREET LIMERICK , LIMERICK , LIMERICK , V94HX23",http://www.cbslk.ie,"https://maps.google.com/?q=52.65885,-8.622306",16910F,SCOIL IOSAGAIN CBS,PRIMARY,ORDINARY,DENIS BARRY,CATHOLIC,BOYS,ENGLISH,YES,NA,210,210,0,NA,NO,NA,
SCOIL IOSAGAIN,2021-07-07,2024-01-22,"KNOCKPOGUE AVENUE FARRANREE CORK , CORK , CORK , T23EW70",http://www.iosagainfarranree.scoilnet.ie,"https://maps.google.com/?q=51.910744,-8.485027",18786R,SCOIL ÍOSAGÁIN FARRANREE,PRIMARY,ORDINARY,FEARGAL HURLEY,CATHOLIC,BOYS,ENGLISH,YES,NA,300,300,0,NA,NO,NA,
SCOIL IOSAGAIN,2021-07-07,2024-01-22,"UPPERCHURCH THURLES CO. TIPPERARY , TIPPERARY , TIPPERARY , E41DY88",http://www.upperchurchns.ie,"https://maps.google.com/?q=52.70134,-8.021735",19677R,QUINN,PRIMARY,ORDINARY,ALMA QUINN,CATHOLIC,MIXED,ENGLISH,NO,NA,148,71,77,NA,NO,NA,
SCOIL IOSAGAIN,2021-07-07,2024-01-22,"ST MARY'S ROAD BUNCRANA CO. DONEGAL , DONEGAL , DONEGAL , F93CA39",http://www.scoiliosagain.ie,"https://maps.google.com/?q=55.133095,-7.4574523",19967D,SCOIL ÍOSAGÁIN,PRIMARY,ORDINARY,SINEAD MCLAUGHLIN,CATHOLIC,MIXED,ENGLISH,NO,NA,792,418,374,NA,NO,NA,
SCOIL ÍOSAGÁIN,2021-07-07,2024-01-22,"CHURCH ROAD BALLYBUNION , KERRY , KERRY , V31F208",http://www.ballybunionprimary.ie,"https://maps.google.com/?q=52.51368,-9.670571",20196I,SCOIL ÍOSAGÁIN,PRIMARY,ORDINARY,ITA WALSH,CATHOLIC,MIXED,ENGLISH,YES,NA,214,108,106,NA,NO,NA,
SCOIL IOSAGAIN BOYS SENIOR,2021-07-07,2024-03-20,"AUGHAVANNAGH ROAD CRUMLIN DUBLIN 12 , DUBLIN , DUBLIN 12 , D12W522",http://www.scoiliosagain.com,"https://maps.google.com/?q=53.330025,-6.28732",17603B,SCOIL ÍOSAGÁIN,PRIMARY,ORDINARY,AOIFE WRYNNE,CATHOLIC,MIXED,ENGLISH,YES,NA,74,74,0,NA,NO,NA,
SCOIL LACHTAIN,2021-07-07,2024-01-22,"FRESHFORD CO. KILKENNY , KILKENNY , KILKENNY , R95RP20",http://freshfordns.weebly.com,"https://maps.google.com/?q=52.731102,-7.396557",00796U,FRESHFORD NS,PRIMARY,ORDINARY,BRENDAN TYNAN,CATHOLIC,MIXED,ENGLISH,YES,NA,210,115,95,NA,NO,NA,
SCOIL LACHTAIN NAOFA,2021-07-07,2024-01-22,"CILL NA MARTRA MAIGH CHROMTHA CO. CHORCAÍ , CORK , CORK , P12AY06",http://scoillachtainnaofa.weebly.com,"https://maps.google.com/?q=51.89968,-9.08809",14816D,SCOIL LACHTAÍN NAOFA,PRIMARY,ORDINARY,MARY UÍ RÍORDÁIN,CATHOLIC,MIXED,ALL IRISH,NO,NA,78,38,40,NA,NO,NA,
SCOIL LORCÁIN,2021-07-07,2024-01-22,"CEARNÓG EATON BAILE NA MANACH CO. ÁTHA CLIATH , DUBLIN , DUBLIN COUNTY , A94F596",,"https://maps.google.com/?q=53.296635,-6.1647854",18451J,SCOIL LORCÁIN,PRIMARY,ORDINARY,COLMÁN Ó DRISCEOIL,CATHOLIC,MIXED,ALL IRISH,NO,NA,481,242,239,NA,NO,NA,
SCOIL LORCAIN B,2021-07-07,2024-01-22,"THE OVAL PALMERSTOWN DUBLIN 20 , DUBLIN , DUBLIN 20 , D20W227",,"https://maps.google.com/?q=53.352425,-6.3690166",18323A,ST LORCANS BNS,PRIMARY,ORDINARY,SINEAD GREALLY,CATHOLIC,BOYS,ENGLISH,NO,NA,363,363,0,NA,NO,NA,
SCOIL LORCAIN BNS,2021-07-07,2024-01-22,"ST. JOHN'S PARK WATERFORD , WATERFORD , WATERFORD , X91HY92",http://www.scoillorcain.com,"https://maps.google.com/?q=52.243103,-7.106035",18462O,SCOIL LORCAIN BNS,PRIMARY,ORDINARY,CAROLINE DOURIS,CATHOLIC,BOYS,ENGLISH,YES,NA,341,341,0,NA,NO,NA,
SCOIL MAELRUAIN JUNIOR,2021-07-07,2024-01-22,"OLD BAWN TALLAGHT DUBLIN 24 , DUBLIN , DUBLIN 24 , D24T854",http://www.scoilmaelruainjunior.org,"https://maps.google.com/?q=53.277824,-6.3625846",19462T,SCOIL MAELRUAIN JUNIOR,PRIMARY,ORDINARY,CLAIRE DURR,CATHOLIC,MIXED,ENGLISH,NO,NA,383,200,183,NA,NO,NA,
SCOIL MAELRUAIN SENIOR,2021-07-07,2024-01-22,"OLD BAWN TALLAGHT DUBLIN 24 TEST ADDRESS , DUBLIN , DUBLIN 24 , D24EV18",http://www.scoilmaelruainsenior.ie,"https://maps.google.com/?q=53.277985,-6.3629613",19463V,SCOIL MAELRUAIN SENIOR,PRIMARY,ORDINARY,PADRAIC MOORE,CATHOLIC,MIXED,ENGLISH,NO,NA,396,226,170,NA,NO,NA,
SCOIL MARIA ASSUMPTA,2021-07-07,2024-01-22,"BALLYPHEHANE CORK , CORK , CORK , T12HY44",,"https://maps.google.com/?q=51.883495,-8.480117",20389T,SCOIL MARIA ASSUMPTA,PRIMARY,ORDINARY,MAEVE GRIFFIN,CATHOLIC,GIRLS,ENGLISH,YES,NA,155,3,152,NA,NO,NA,
SCOIL MATHAIR DE,2021-07-07,2024-01-22,"SOUTH CIRCULAR ROAD LIMERICK CITY , LIMERICK , LIMERICK , V94VR64",http://www.scoilmhathairde.ie,"https://maps.google.com/?q=52.652412,-8.638428",18677M,SCOIL MHÁTHAIR DÉ,PRIMARY,ORDINARY,GERARDINE UI CHATHASAIGH,CATHOLIC,MIXED,ENGLISH,NO,NA,412,204,208,NA,NO,NA,
SCOIL MHÁIRTIN,2021-07-07,2024-01-22,"KILWORTH CO. CORK , CORK , CORK , P61D504",,"https://maps.google.com/?q=52.172768,-8.240764",20204E,ST MARTIN'S NATIONAL SCHOOL,PRIMARY,ORDINARY,HELEN LEDDY,CATHOLIC,MIXED,ENGLISH,NO,NA,292,152,140,NA,NO,NA,
SCOIL MHICHIL,2021-07-07,2024-01-22,"RACKWALLACE CASTLESHANE CO. MONAGHAN , MONAGHAN , MONAGHAN , H18XY66",http://rackwallacens.com,"https://maps.google.com/?q=54.216892,-6.8950844",16954C,RACKWALLACE NATIONAL SCHOOL,PRIMARY,ORDINARY,SÉAMUS GRUNDY,CATHOLIC,MIXED,ENGLISH,NO,NA,44,23,21,NA,NO,NA,
SCOIL MHICHIL,2021-07-07,2024-01-22,"CAHERMURPHY KILMIHIL KILRUSH , CLARE , CLARE , V15W892",http://www.scoilmhichil.ie,"https://maps.google.com/?q=52.722763,-9.319174",20434V,CAHERMURPHY N.S,PRIMARY,ORDINARY,MRS ANN MARIE DONNELLY,CATHOLIC,MIXED,ENGLISH,NO,NA,56,26,30,NA,NO,NA,
SCOIL MHICHIL NA BUACHAILLI,2021-07-07,2024-01-22,"PATRICK STREET TRIM CO. MEATH , MEATH , MEATH , C15FK19",http://www.stmichaelsnstrim.ie,"https://maps.google.com/?q=53.5513,-6.791847",05630L,ST MICHAEL'S NS TRIM,PRIMARY,ORDINARY,BRID GORRY,CATHOLIC,BOYS,ENGLISH,NO,NA,282,278,4,NA,NO,NA,
SCOIL MHICHIL NAOFA,2021-07-07,2024-01-22,"CROSSPATRICK (VIA THURLES) JOHNSTOWN , KILKENNY , KILKENNY , E41EK57",http://www.crosspatrickns.com,"https://maps.google.com/?q=52.772102,-7.598626",17758H,CROSSPATRICK NS,PRIMARY,ORDINARY,HENRY MARTIN,CATHOLIC,MIXED,ENGLISH,YES,NA,20,7,13,NA,NO,NA,
SCOIL MHICHIL NAOFA,2021-07-07,2024-01-22,"MOUNT HAWKINS ATHY CO. KILDARE , KILDARE , KILDARE , R14XD86",,"https://maps.google.com/?q=52.993935,-6.9807773",18288B,SCOIL MHICHÍL NAOFA ATHY,PRIMARY,ORDINARY,SEAN HOURIHANE,CATHOLIC,MIXED,ENGLISH,YES,NA,502,264,238,NA,NO,NA,
SCOIL MHOLAINGE LISTERLIN,2021-07-07,2024-01-22,"LISTERLIN MULLINAVAT VIA WATERFORD CO. KILKENNY , KILKENNY , KILKENNY , X91EA09",http://listerlinns.com,"https://maps.google.com/?q=52.409405,-7.073443",18748J,LISTERLIN MIXED NATIONAL SCHOOL,PRIMARY,ORDINARY,WILLIAM CASSIN,CATHOLIC,MIXED,ENGLISH,NO,NA,154,74,80,NA,NO,NA,
SCOIL MHUIRE,2021-07-01,2024-01-22,"RATHSALLAGH SHANKILL DUBLIN 18 , DUBLIN , DUBLIN COUNTY , D18FT91",http://www.primaryschoolshankill.ie,"https://maps.google.com/?q=53.236202,-6.121887",19497P,SCOIL MHUIRE SHANKILL,PRIMARY,ORDINARY,BRIAN COLEMAN,CATHOLIC,MIXED,ENGLISH,YES,NA,286,153,133,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"MAGHERARNEY SMITHBOROUGH CO. MONAGHAN , MONAGHAN , MONAGHAN , H18RX50",http://www.magherarneyns.com,"https://maps.google.com/?q=54.216347,-7.111591",09186P,MAGHERARNEY NS,PRIMARY,ORDINARY,NICOLA FAHY,CATHOLIC,MIXED,ENGLISH,NO,NA,111,53,58,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"BOYHER ROCKCORRY CO. MONAGHAN , MONAGHAN , MONAGHAN , H18NY50",,"https://maps.google.com/?q=54.11549,-7.0129313",10429W,CORRAVACAN NS,PRIMARY,ORDINARY,DONAL QUIGLEY,CATHOLIC,MIXED,ENGLISH,YES,NA,84,41,43,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2023-02-17,"AN TUAIRÍN BÉAL AN DAINGIN CO. NA GAILLIMHE , GALWAY , GALWAY , H91AV61",,"https://maps.google.com/?q=53.304966,-9.594714",11261P,SCOIL AN TUAIRÍN,PRIMARY,NON CAPITATION SCHOOL GRANT,SÍOFRA NÍ FHLAITHEARTA,CATHOLIC,MIXED,ALL IRISH,YES,NA,74,32,42,NA,NO,NA,Reports
SCOIL MHUIRE,2021-07-07,2024-01-22,"GILFORD ROAD SANDYMOUNT DUBLIN 4 , DUBLIN , DUBLIN 4 , D04DC04",http://www.scoilmhuiregns.ie,"https://maps.google.com/?q=53.328243,-6.2121763",11894I,SCOIL MHUIRE GNS,PRIMARY,ORDINARY,DONNCHA CLEARY,CATHOLIC,GIRLS,ENGLISH,NO,NA,276,0,276,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"CASTLE ROAD ORANMORE CO. GALWAY , GALWAY , GALWAY , H91F9T8",http://www.scoilmhuireoranmore.scoilnet.ie,"https://maps.google.com/?q=53.267338,-8.931825",13365O,SCOIL MHUIRE ORANMORE,PRIMARY,ORDINARY,EDEL NÍ CHEATHARNAIGH,CATHOLIC,MIXED,ENGLISH,NO,NA,447,84,363,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"LUCAN ROAD LUCAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K78DK18",http://smgnslucan.com,"https://maps.google.com/?q=53.358936,-6.4399643",13447Q,ST MARY'S GIRLS SCHOOL,PRIMARY,ORDINARY,SINEAD BENNIS,CATHOLIC,GIRLS,ENGLISH,NO,NA,573,0,573,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"MOYDERWELL TRALEE CO. KERRY , KERRY , KERRY , V92AE70",http://www.moyderwellmercy.ie,"https://maps.google.com/?q=52.268074,-9.699748",13530D,SCOIL MHUIRE TOBAR MUÍ DOIRE,PRIMARY,ORDINARY,PAT NEENAN,CATHOLIC,MIXED,ENGLISH,YES,NA,387,226,161,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"EFFIN KILMALLOCK CO. LIMERICK , LIMERICK , LIMERICK , V35RH51",,"https://maps.google.com/?q=52.34803,-8.608207",17299B,EFFIN NATIONAL SCHOOL,PRIMARY,ORDINARY,ANNE MARIA MURPHY,CATHOLIC,MIXED,ENGLISH,NO,NA,89,46,43,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"WOLFHILL ATHY CO LAOIS , LAOIS , LAOIS , R14C521",,"https://maps.google.com/?q=52.90031,-7.1314616",17441B,WOLFHILL N S ATHY,PRIMARY,ORDINARY,CAITLIN BN UI BHEOLAIN,CATHOLIC,MIXED,ENGLISH,YES,NA,16,12,4,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"LACKEN BALLINAGH CO. CAVAN , CAVAN , CAVAN , H12E171",http://www.lackennationalschool.com,"https://maps.google.com/?q=53.916775,-7.4386334",17479D,SCOIL MHUIRE NS LACKEN,PRIMARY,ORDINARY,JILL MASTERSON (ACTING PRINCIPAL),CATHOLIC,MIXED,ENGLISH,YES,NA,98,43,55,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"AUGHNAGARRON GRANARD CO LONGFORD , LONGFORD , LONGFORD , N39KX77",,"https://maps.google.com/?q=53.798542,-7.471134",17644P,AUGHNAGARRON N S,PRIMARY,ORDINARY,SIOBHAN SMITH,CATHOLIC,MIXED,ENGLISH,NO,NA,49,27,22,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"PETTIGO CO DONEGAL , DONEGAL , DONEGAL , F94C960",,"https://maps.google.com/?q=54.546535,-7.8382406",17837D,S N PETTIGO,PRIMARY,ORDINARY,EMER MCLAUGHLIN,CATHOLIC,MIXED,ENGLISH,YES,NA,53,28,25,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"BRIERHILL SCHOOL BRIERHILL GALWAY , GALWAY , GALWAY , H91E5C9",,"https://maps.google.com/?q=53.294388,-8.979143",17845C,BRIERHILL NATIONAL SCHOOL,PRIMARY,ORDINARY,ANDREW O' SULLIVAN,CATHOLIC,MIXED,ENGLISH,NO,NA,240,127,113,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"TOWER ROAD CHAPELIZOD DUBLIN 20 , DUBLIN , DUBLIN 20 , D20HX04",http://www.scoilmhuiremountsackville.ie,"https://maps.google.com/?q=53.360264,-6.3588367",17891J,MOUNT SACKVILLE PRIMARY SCHOOL,PRIMARY,ORDINARY,CARAGH SUGRUE,CATHOLIC,GIRLS,ENGLISH,NO,NA,194,0,194,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"ARDEEVIN WILLIAMSTOWN CO. GALWAY , GALWAY , GALWAY , F45DX68",,"https://maps.google.com/?q=53.63787,-8.549683",17980I,ARDEEVIN NATIONAL SCHOOL,PRIMARY,ORDINARY,PADRAIG CARNEY,CATHOLIC,MIXED,ENGLISH,NO,NA,31,17,14,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"KILCRUTTIN TULLAMORE CO. OFFALY , OFFALY , OFFALY , R35K250",,"https://maps.google.com/?q=53.271717,-7.499935",18057F,SC MHUIRE TULLAMORE,PRIMARY,ORDINARY,BRENDAN NAUGHTON,CATHOLIC,MIXED,ENGLISH,YES,NA,295,75,220,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"BALLYLEAGUE LANESBOROUGH CO. ROSCOMMON , ROSCOMMON , ROSCOMMON , N39PX49",,"https://maps.google.com/?q=53.676056,-7.99992",18061T,BALLYLEAGUE NATIONAL SCHOOL,PRIMARY,ORDINARY,CAITRÍONA FALLON,CATHOLIC,MIXED,ENGLISH,NO,NA,86,52,34,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"CAISEAL CEANNDROMA O.P. FÁNAID , DONEGAL , DONEGAL , F92V449",,"https://maps.google.com/?q=55.229992,-7.723133",18120J,S N CAISEAL,PRIMARY,ORDINARY,GRÁINNE BN UÍ DHUBHTHAIGH,CATHOLIC,MIXED,ALL IRISH,YES,NA,62,33,29,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"DOIRE GLINNE SRAITH SALACH CO. NA GAILLIMHE , GALWAY , GALWAY , H91P6A0",,"https://maps.google.com/?q=53.429035,-9.422324",18252D,SCOIL MHUIRE DOIRE GLINNE,PRIMARY,ORDINARY,SINÉAD NÍ CHADHAIN,CATHOLIC,MIXED,ENGLISH,NO,NA,22,14,8,NA,NO,NA,
SCOIL MHUIRE,2021-07-07,2024-01-22,"BROADFORD CHARLEVILLE CO. LIMERICK , LIMERICK , LIMERICK , P56VW31",,"https://maps.google.com/?q=52.345932,-8.969357",18260C,BROADFORD NATIONAL SCHOOL,PRIMARY,ORDINARY,BELINDA MURPHY,CATHOLIC,MIXED,ENGLISH,NO,NA,159,73,86,NA,NO,NA,
