school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
BOHERMORE N S,2021-07-07,2024-01-22,"SRAHANE BALLYSIMON CO. LIMERICK , LIMERICK , LIMERICK , V94EF60",http://www.bohermorens.ie,"https://maps.google.com/?q=52.611034,-8.525215",08342V,BOHERMORE N S,PRIMARY,ORDINARY,CIARA SHEEHY,CATHOLIC,MIXED,ENGLISH,NO,NA,61,35,26,NA,NO,NA,
BOHER N S,2021-07-07,2024-01-22,"BOHER BALLINA KILLALOE PO CO. TIPPERARY , TIPPERARY , TIPPERARY , V94T635",,"https://maps.google.com/?q=52.80204,-8.367657",09190G,BOHER NATIONAL SCHOOL,PRIMARY,ORDINARY,UNA KENNEDY,CATHOLIC,MIXED,ENGLISH,NO,NA,117,71,46,NA,NO,NA,
BOHER N S,2021-07-07,2024-01-22,"BOHER STREAMSTOWN CO. WESTMEATH , WESTMEATH , WESTMEATH , N91Y663",,"https://maps.google.com/?q=53.461765,-7.594469",17236A,BOHER NATIONAL SCHOOL,PRIMARY,ORDINARY,CAROL WHITE,CATHOLIC,MIXED,ENGLISH,NO,NA,27,16,11,NA,NO,NA,
BOHESHILL MXD,2021-07-07,2024-01-22,"BOHESHIL GLENCAR CO. KERRY , KERRY , KERRY , V93EC56",,"https://maps.google.com/?q=51.975334,-9.863992",16744O,BOHESHILL NATIONAL SCHOOL,PRIMARY,ORDINARY,ELLEN MAGANN,CATHOLIC,MIXED,ENGLISH,YES,NA,21,18,3,NA,NO,NA,
BOOLAVOGUE N S,2021-07-07,2024-01-22,"BOOLAVOGUE FERNS CO. WEXFORD , WEXFORD , WEXFORD , Y21NW02",,"https://maps.google.com/?q=52.555145,-6.420285",18336J,BOOLAVOGUE NS,PRIMARY,ORDINARY,WILLIE CLEARY,CATHOLIC,MIXED,ENGLISH,NO,NA,107,59,48,NA,NO,NA,
BOOTERSTOWN BOYS,2021-07-07,2024-01-22,"GROTTO PLACE BOOTERSTOWN BLACKROCK CO. DUBLIN , DUBLIN , DUBLIN COUNTY , A94AC97",http://www.stmarysbooterstown.ie,"https://maps.google.com/?q=53.308968,-6.1989303",06200O,ST MARY'S BNS BOOTERSTOWN,PRIMARY,ORDINARY,NOEL SCULLY,CATHOLIC,BOYS,ENGLISH,NO,NA,249,249,0,NA,NO,NA,
BOOTERSTOWN N S,2021-07-07,2024-01-22,"CROSS AVE BLACKROCK CO DUBLIN , DUBLIN , DUBLIN COUNTY , A94E524",http://www.booterstownnationalschool.ie,"https://maps.google.com/?q=53.300545,-6.1909995",19901T,BOOTERSTOWN N S,PRIMARY,ORDINARY,EMMA UI SHUILLEABHAIN,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,88,45,43,NA,NO,NA,
BORRIS MXD N S,2021-07-07,2024-01-22,"LOWER MAIN STREET BORRIS CO. CARLOW , CARLOW , CARLOW , R95RH6F",http://borrisns.com,"https://maps.google.com/?q=52.599655,-6.9204307",00651R,BORRIS NS,PRIMARY,ORDINARY,PAT COADY,CATHOLIC,MIXED,ENGLISH,NO,NA,206,106,100,NA,NO,NA,
BORRISOKANE COMMUNITY COLLEGE,2021-07-07,2024-01-22,"BORRISOKANE CO TIPPERARY , TIPPERARY , TIPPERARY , E45WC59",http://www.borrisokanecc.ie,"https://maps.google.com/?q=53.00161,-8.11816",72370P,BORRISOKANE COMMUNITY COLLEGE,POST PRIMARY,VOCATIONAL,PAULA MOLLOY,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,657,325,332,YES,NO,NA,
BORRIS VOCATIONAL SCHOOL,2021-07-07,2024-01-22,"BORRIS CO CARLOW , CARLOW , CARLOW , R95Y778",http://www.borrisvs.ie,"https://maps.google.com/?q=52.5972,-6.9177856",70400L,BORRIS VOCATIONAL SCHOOL,POST PRIMARY,VOCATIONAL,PAT COFFEY,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,542,271,271,YES,NO,NA,
BOSTON N S,2021-07-07,2024-01-22,"BOSTON TUBBER CO. CLARE , CLARE , CLARE , H91XV70",http://bostonns.com,"https://maps.google.com/?q=53.031498,-8.93274",10763L,EDUCATIONAL,PRIMARY,ORDINARY,ÁINE NÍ DHOCHARTAIGH,CATHOLIC,MIXED,ENGLISH,NO,NA,26,15,11,NA,NO,NA,
BOYNE COMMUNITY SCHOOL,2021-07-07,2024-01-22,"TRIM CO. MEATH , MEATH , MEATH , C15RK79",http://www.boynecs.ie,"https://maps.google.com/?q=53.55064,-6.7842603",91508C,BOYNE COMMUNITY SCHOOL,POST PRIMARY,COMMUNITY,MS. JEAN RYAN,INTER DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,970,765,205,YES,NO,NA,
BRACKEN EDUCATE TOGETHER NS,2021-07-07,2024-01-22,"CASTLELANDS BALBRIGGAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K32YE94",http://www.brackenetns.com,"https://maps.google.com/?q=53.60084,-6.1781774",20282B,BRACKEN ETNS,PRIMARY,ORDINARY,LAURA O'SHAUGHNESSY,MULTI DENOMINATIONAL,MIXED,ENGLISH,YES,NA,397,212,185,NA,NO,NA,
BRACKENSTOWN SENIOR N S,2021-07-07,2024-01-22,"BRACKENSTOWN ROAD SWORDS CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K67CH99",http://www.stcronansns.ie,"https://maps.google.com/?q=53.458916,-6.235446",19535U,SCOIL CHRÓNÁIN SNS,PRIMARY,ORDINARY,LORETO DESMOND,CATHOLIC,MIXED,ENGLISH,NO,NA,573,306,267,NA,NO,NA,
BRACKLOON N S,2021-07-07,2024-01-22,"BRACKLOON WESTPORT , MAYO , MAYO , F28E8Y9",http://www.brackloonns.ie,"https://maps.google.com/?q=53.75435,-9.563132",04796R,BRACKLOON NS,PRIMARY,ORDINARY,BRENDAN TUNNEY,CATHOLIC,MIXED,ENGLISH,YES,NA,162,81,81,NA,NO,NA,
BRANNOXTOWN COMMUNITY N S,2021-07-07,2024-01-22,"BRANNOCKSTOWN NAAS CO. KILDARE , KILDARE , KILDARE , W91NY67",http://www.brannoxtowncns.ie,"https://maps.google.com/?q=53.12255,-6.6973095",16817P,BRANNOXTOWN CNS,PRIMARY,NON CAPITATION SCHOOL GRANT,DEIRDRE MURPHY,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,83,40,43,NA,NO,NA,
BRAY SCHOOL PROJECT N S,2021-07-07,2024-01-22,"KILLARNEY RD BALLYWALTRIM BRAY CO WICKLOW , WICKLOW , WICKLOW , A98RT02",http://www.brayschoolproject.ie,"https://maps.google.com/?q=53.188377,-6.1261687",19754J,BRAY SCHOOL PROJECT,PRIMARY,ORDINARY,ALAN BEDFORD,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,234,120,114,NA,NO,NA,
BREAFFY N S,2021-07-07,2024-01-22,"BREAFFY CASTLEBAR CO. MAYO , MAYO , MAYO , F23WF99",http://breaffyns.ie,"https://maps.google.com/?q=53.847694,-9.238242",13781F,BREAFFY NS,PRIMARY,ORDINARY,SEOIRSE O MORAIN,CATHOLIC,MIXED,ENGLISH,YES,NA,424,219,205,NA,NO,NA,
BREIFNE COLLEGE,2021-07-07,2024-01-22,"COOTEHILL RD CAVAN CO CAVAN , CAVAN , CAVAN , H12H798",http://www.breifnecollege.ie,"https://maps.google.com/?q=54.009235,-7.346803",70380I,BREIFNE COLLEGE,POST PRIMARY,VOCATIONAL,MR JOHN CROTTY,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,876,384,492,YES,NO,NA,
BREMORE EDUCATE TOGETHER SECONDARY SCHOOL,2021-07-07,2024-01-22,"STEPHENSTOWN CAMPUS NAUL ROAD BALBRIGGAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K32AD90",http://www.bremoreetss.ie,"https://maps.google.com/?q=53.604153,-6.202817",68262N,BREMORE EDUCATE TOGETHER SECONDARY SCHOOL,POST PRIMARY,SECONDARY,MS. KATHLEEN JONES,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,727,468,259,YES,NO,NA,
BRIDESWELL N S,2021-07-07,2024-01-22,"BRIDESWELL ATHLONE CO. ROSCOMMON , ROSCOMMON , ROSCOMMON , N37P838",,"https://maps.google.com/?q=53.452892,-8.088708",15413J,BRIDESWELL NATIONAL SCHOOL,PRIMARY,ORDINARY,ORLA FOGARTY,CATHOLIC,MIXED,ENGLISH,NO,NA,55,32,23,NA,NO,NA,
BRIDGETOWN COLLEGE,2021-07-07,2024-01-22,"BRIDGETOWN CO WEXFORD , WEXFORD , WEXFORD , Y35R628",http://www.bridgetowncollege.ie,"https://maps.google.com/?q=52.228535,-6.549776",71610E,BRIDGETOWN COLLEGE,POST PRIMARY,VOCATIONAL,ADRIAN POWER,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,604,354,250,YES,NO,NA,
BRIERFIELD N SCHOOL,2021-07-07,2024-01-22,"BRIERFIELD TUAM CO. GALWAY , GALWAY , GALWAY , H54DY79",http://brierfieldns.ie,"https://maps.google.com/?q=53.465965,-8.663652",14294W,BRIERFIELD NATIONAL SCHOOL,PRIMARY,ORDINARY,AOIFE FLATTERY,CATHOLIC,MIXED,ENGLISH,NO,NA,78,36,42,NA,NO,NA,
BRIGHDE NAOFA,2021-07-07,2024-01-22,"ROWLESTOWN DRIVE KILSALLAGHAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K67Y308",http://www.rolestownns.ie,"https://maps.google.com/?q=53.49116,-6.2994266",17820J,ROLESTOWN NATIONAL SCHOOL,PRIMARY,ORDINARY,ELAINE O'BRIEN,CATHOLIC,MIXED,ENGLISH,NO,NA,333,158,175,NA,NO,NA,
BRITTAS BAY MXD N S,2021-07-07,2024-01-22,"BALLINACARRIG BRITTAS BAY CO. WICKLOW , WICKLOW , WICKLOW , A67XP71",http://brittasbayns.com,"https://maps.google.com/?q=52.901516,-6.0506535",11372B,SCOIL RÉALT NA MARA,PRIMARY,ORDINARY,ÚNA GALLINAGH,CATHOLIC,MIXED,ENGLISH,NO,NA,152,84,68,NA,NO,NA,
BROADFORD & KILBANE NATIONAL SCHOOL,2021-07-07,2024-01-22,"BROADFORD CO. CLARE , CLARE , CLARE , V94AP28",http://www.broadfordns.com,"https://maps.google.com/?q=52.801743,-8.568132",20452A,BROADFORD & KILBANE NATIONAL SCHOOL,PRIMARY,ORDINARY,AONGHUS O'BRIEN,CATHOLIC,MIXED,ENGLISH,NO,NA,119,56,63,NA,NO,NA,
BROADMEADOW COMMUNITY NATIONAL SCHOOL,2021-07-07,2024-01-22,"SWORDS NORTH DUBLIN , DUBLIN , DUBLIN COUNTY",http://broadmeadowcns.ie,"https://maps.google.com/?q=53.466072,-6.250508",20529J,BROADMEADOW COMMUNITY NATIONAL SCHOOL,PRIMARY,NON CAPITATION SCHOOL GRANT,JENNIFER ROBINSON,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,50,29,21,NA,NO,NA,
BROOMBRIDGE EDUCATE TOGETHER NATIONAL SCHOOL,2021-07-07,2024-01-22,"BANNOW ROAD CABRA DUBLIN 7 , DUBLIN , DUBLIN 7 , D07TD93",http://www.broombridgeetns.ie,"https://maps.google.com/?q=53.371,-6.29392",20453C,BROOMBRIDGE EDUCATE TOGETHER,PRIMARY,ORDINARY,EIBH NÍ MHORDHA,MULTI DENOMINATIONAL,MIXED,ENGLISH,YES,NA,282,165,117,NA,NO,NA,
BROWNEKNOWE N S,2021-07-07,2024-01-22,"BROWNKNOWE RAMELTON CO. DONEGAL , DONEGAL , DONEGAL , F92P223",,"https://maps.google.com/?q=55.060528,-7.6216903",07464H,BROWNKNOWE NATIONAL SCHOOL,PRIMARY,ORDINARY,SARA MARTIN,PRESBYTERIAN,MIXED,ENGLISH,NO,NA,53,25,28,NA,NO,NA,
BRUCKLESS N S,2021-07-07,2024-01-22,"BRUCKLESS CO. DONEGAL , DONEGAL , DONEGAL , F94E427",http://www.brucklessns.ie,"https://maps.google.com/?q=54.640724,-8.390201",16664Q,BRUCKLESS NATIONAL SCHOOL,PRIMARY,ORDINARY,LORCAN O'TOOLE,CATHOLIC,MIXED,ENGLISH,YES,NA,20,9,11,NA,NO,NA,
BRUREE NATIONAL SCHOOL,2021-07-07,2024-01-22,"BRUREE CO. LIMERICK , LIMERICK , LIMERICK , V35EK64",http://www.brureens.ie,"https://maps.google.com/?q=52.422974,-8.649552",08572P,ST PATRICK'S NS,PRIMARY,ORDINARY,GERARD KELLEHER,CATHOLIC,MIXED,ENGLISH,NO,NA,172,91,81,NA,NO,NA,
BULGADEN N S,2021-07-07,2024-01-22,"BULGADEN KILMALLOCK CO. LIMERICK , LIMERICK , LIMERICK , V35F589",,"https://maps.google.com/?q=52.42262,-8.526814",13790G,BULGADEN NATIONAL SCHOOL,PRIMARY,ORDINARY,CATHERINE DALY,CATHOLIC,MIXED,ENGLISH,NO,NA,21,10,11,NA,NO,NA,
