station,grid,address,lat,lng
Parkwest & Cherry Orchard, B3,"Park West and Cherry Orchard, Cherry Orchard, Dublin 10, Co. Dublin, Ireland",53.33402599999999,-6.378642
Parnell, D2,"Parnell St, Dublin, Ireland",53.3518295,-6.2629046
Pearse, E3,"Dublin Pearse railway station, Dublin, Co. Dublin, Ireland",53.3433274,-6.2480209
Pelletstown, C2,"Pelletstown Train Station, Castleknock (part of Phoenix Park), Dublin, Co. Dublin, Ireland",53.375244,-6.313874999999999
Phibsborough, C2,"Phibsborough, Dublin, Ireland",53.36080949999999,-6.2726951
Portarlington, A3,"Portarlington, Co. Laois, Ireland",53.1616096,-7.1895142
Portlaoise, A4,"Portlaoise, Co. Laois, Ireland",53.0328123,-7.298793300000001
Portmarnock, E2,"Portmarnock, Portmarnock, Dublin, Ireland",53.4176104,-6.151186
Raheny, E2,"Dublin, Ireland",53.3498053,-6.2603097
Ranelagh, C4,"Ranelagh, Dublin, Ireland",53.3252667,-6.2549962
Rathdrum, F5,"Rathdrum Rd, Drimnagh, Dublin, Ireland",53.3296479,-6.2898794
Red Cow, B4,"Redcow, Dublin, Ireland",53.31919970000001,-6.3730344
Rialto, B3,"Rialto, Dublin, Ireland",53.33626750000001,-6.2970077
Rush and Lusk, E1,"Dublin, Ireland",53.3498053,-6.2603097
Saggart, B5,"Saggart, Co. Dublin, Ireland",53.284435,-6.440534599999999
Sallins & Naas, B3,"Naas, Co. Kildare, Ireland",53.2244337,-6.653003
Salthill & Monkstown, E4,"Salthill and Monkstown, Longford Terrace, Dún Laoghaire, Monkstown, Co. Dublin, Ireland",53.2952928,-6.1522039
Sandycove & Glasthule, F4,"Sandycove Road, Sandycove, Dublin, Ireland",53.2860318,-6.116761
Sandyford, C5,"Sandyford, Dublin, Ireland",53.27896980000001,-6.2163425
Sandymount, E4,"Sandymount, Dublin, Co. Dublin, Ireland",53.327972,-6.220854
Seapoint, E4,"Seapoint, Rinn Na Mara, Seapoint Or Templehill, Blackrock, Co. Dublin, Ireland",53.2991056,-6.1653533
Shankill, F5,"Shankill, Rathsallagh Dr, Shankill, Dublin, D18 E6H7, Ireland",53.236534,-6.117156
Skerries, E1,"Dublin, Ireland",53.3498053,-6.2603097
Smithfield, C3,"Smithfield, Dublin, Ireland",53.34772299999999,-6.2800082
Spencer Dock, E3,"Spencer Dock, North Wall, Dublin, Ireland",53.3501671,-6.241645
St. Stephen's Green, C3,"St.Stephen's Green, Dublin, Co. Dublin, Ireland",53.3390984,-6.261233499999999
Stillorgan, C4,"Stillorgan, Dublin, Ireland",53.2877953,-6.203568199999999
Suir Road, B4,"Suir Rd, Dublin, Ireland",53.3379461,-6.3078798
Sutton, F2,"Sutton, Burrow, Dublin, Co. Dublin, Ireland",53.3919316,-6.116363900000001
Sydney Parade, E4,"Sydney Parade, Sydney Parade Ave, Dublin 4, D04 Y1Y6, Ireland",53.3206827,-6.211577999999999
Tallaght, B5,"Tallaght Garda Station, Belgard Walk, Tallaght, Dublin 24, Ireland",53.2868018,-6.3678328
Tara Street, E3,"Tara Street Railway Station, Dublin, Ireland",53.3470875,-6.254264
The Gallops, D5,"The Gallops, Dublin, Ireland",53.2632089,-6.204711
The Point, F3,"Dublin, Ireland",53.3498053,-6.2603097
Trinity, D3,"Dublin, Ireland",53.3498053,-6.2603097
Tullamore, A3,"Tullamore, Co. Offaly, Ireland",53.2752768,-7.4924439
UCD, D4,"Dublin, Ireland",53.3498053,-6.2603097
Westmoreland, C3,"Dublin, Ireland",53.3498053,-6.2603097
Wicklow, F5,"Dublin, Ireland",53.3498053,-6.2603097
Windy Arbour, C4,"Windy Arbour, Dublin, Ireland",53.3003325,-6.2489342
