store,area,address,lat,lng
tesco,Edenderry,Edenderry Superstore Clonmullen Industrial Estate,53.3463401,-7.0443612
tesco,Enfield,Enfield Main Street Expess Main Street Johnston,42.0027181,-72.5441445
tesco,Ennis,"Ennis Superstore Ennis Shopping Centre, Francis St",52.8455217,-8.976333
tesco,Ferrybank,Ferrybank Express,52.2671181,-7.1035588
tesco,Finglas,Finglas Main St,53.38259739999999,-6.2973038
tesco,Galway,Newcastle Exp 21 University Road,53.2767372,-9.0632544
tesco,Galway,Galway SC Galway Shopping Centre,53.2801745,-9.0478638
tesco,Galway,Knocknacarra,53.2675267,-9.1123975
tesco,Galway,Ballinfoyle Exp Tornog,53.2937838,-9.0373422
tesco,Galway City,Fr Griffin Rd,53.267134,-9.06062
tesco,Gorey,Gorey Extra Ramstown Lower,52.6726459,-6.3005005
tesco,Greystones,Greystones Superstore Kilcoole Road,53.1311199,-6.0766753
tesco,Headford,Headford Superstore,53.4689407,-9.1079721
tesco,Inverin,Inverin,53.24591789999999,-9.364115199999999
tesco,Kilcock,Kilcock Express Church Street,53.4039231,-6.6721471
tesco,Kilcoole,"Kilcoole Express Whitehorn Centre, Main Street",53.1103238,-6.0652509
tesco,Kildare,Kildare Superstore Monasterevin Road,53.1573054,-6.9218151
tesco,Killarney,Killarney Park Superstore Deerpark Road,52.0598646,-9.504362900000002
tesco,Killarney,Killarney Express New Street,52.0587391,-9.5129607
tesco,Kilrush,Kilrush Superstore Ennis Road,52.6406999,-9.4859374
tesco,Kinnegad,Kinnegad Superstore Athlone Road,53.4526572,-7.1153289
tesco,Lavitts Quay,Paul Street Cork Superstore Paul Street,51.8998423,-8.4746626
tesco,Letterkenny,Letterkenny Square Superstore Letterkenny Shopping Centre,54.9536327,-7.7238319
tesco,Limerick,Coonagh Superstore Coonagh Cross,52.67526890000001,-8.676535399999999
tesco,Limerick,Dooradoyle Superstore Cresent Shopping Centre,52.64072849999999,-8.6460325
tesco,Limerick,Roxboro Superstore Roxboro Shopping Centre,52.6507956,-8.6164843
tesco,Limerick City,Arthurs Quay Superstore Patrick Street,52.6655302,-8.6252554
tesco,Limerick Kileely,Kileely Road,52.6758746,-8.6384277
tesco,Longford,Longford Superstore Longford Shopping Centre,53.7289749,-7.7984421
tesco,Maynooth,Maynooth Extra Dublin Road,53.3819612,-6.5860517
tesco,Midleton,Midleton Superstore Market Green Shopping Centre,51.91627150000001,-8.179175299999999
tesco,Monaghan,Monaghan Metro Dawson Street,54.2464187,-6.969039299999999
tesco,Mullingar,Mullingar Superstore Ashe Road,53.5280257,-7.3530702
tesco,Naas,Naas Superstore Blessington Road,53.220364,-6.6581294
tesco,Naas,Naas Extra Monread Road,53.2401227,-6.6616094
tesco,Navan,Navan Superstore Navan Shopping Centre,53.6538162,-6.6882598
tesco,Nenagh,Nenagh Superstore Ormond Street,52.8703866,-8.198384899999999
tesco,Newbridge,Newbridge Superstore Newbridge Moorefield,53.17507579999999,-6.8047467
tesco,Newcastle West,Newcastle West Superstore Limerick Road,52.4497055,-9.0470457
tesco,Oranmore,Oranmore Superstore Unit 1 An Tancaire,53.2700873,-8.9303771
tesco,Oughterard,Oughterard,53.4286463,-9.3184879
tesco,Portlaoise,Gandon Court,53.0504219,-7.322246099999999
tesco,Portlaoise,Portlaoise Extra James Fintan Lawlor Avenue,53.03153589999999,-7.2971743
tesco,Quartersland,New Ross Superstore Bosheen Road,52.3920423,-6.9325578
tesco,Rathfarnham,White Pines Superstore,53.2722607,-6.3132724
tesco,Rathoath,Ratoath Express Riverwalk Court,53.504748,-6.467041999999999
tesco,Roscommon,Roscommon Superstore Market Yard,53.6314467,-8.1881971
