store,name,address,lat,lng
dunnes_stores,Edenderry,"Dunnes Stores, St Francis Street, Edenderry, Co. Offaly, R45 CX46",53.340867,-7.0604942
dunnes_stores,Arklow - Bridgewater Ctr,"Dunnes Stores, The Bridgewater Centre, North Quay, Arklow, Co. Wicklow, Y14 WN90",52.798848,-6.148670999999999
dunnes_stores,Dundalk - Neighbourhood,"Dunnes Stores, Hoeys Lane, Dundalk, Co. Louth, A91 AW27",53.9857532,-6.3799988
dunnes_stores,Carlow - Sleaty Rd,"Dunnes Stores, Barrow Valley Retail Park, Sleaty Road, Craigeucullen, Carlow, Co. Carlow, R93 T2W2",52.8453488,-6.9435234
dunnes_stores,Dundalk - Marshes SC,"Dunnes Stores, Marshes Shopping Ctr, Marshes Avenue, Dundalk, Co. Louth, A91 RW50",54.0002617,-6.3987858
dunnes_stores,Dundalk - Ard Easmuinn,"Dunnes Stores, Ard Easmuinn, Castletown Road, Dundalk, Co. Louth, A91 XH34",54.0079258,-6.4149692
dunnes_stores,Mullingar - Harbour Place,"Dunnes Stores, Harbour Place Shopping Centre, Harbour Street, Mullingar, Co. Westmeath, N91 XE1H",53.5292816,-7.3434611
dunnes_stores,Gorey,"Dunnes Stores, The Avenue, Gorey, Co. Wexford, Y25 K0E4",52.67167449999999,-6.296739000000001
dunnes_stores,Portlaoise - Kyle Centre,"Dunnes Stores, The Kyle Centre, Kylekiproe Industrial Estate, New Road, Portlaoise, Co. Laois, R32 A275",53.029913,-7.297107199999999
dunnes_stores,Portlaoise - Green Rd,"Dunnes Stores, Dunnes Stores Shopping Centre, Green Road, Portlaoise, Co. Laois, R32 HR9D",53.0399574,-7.3062794
dunnes_stores,Tullamore - Church Rd,"Dunnes Stores, Church Road, Tullamore, Co. Offaly, R35 Y7P8",53.2735528,-7.484095499999999
dunnes_stores,Tullamore - Bridge Ctr,"Dunnes Stores, Unit 38, The Bridge Centre, Distillery Lane, Tullamore, Co. Offaly, R35 W261",53.2744836,-7.493106099999999
dunnes_stores,Newry - Buttercrane,"Dunnes Stores, Unit 21, Buttercrane Shopping Centre, Newry, County Down, BT35 8HJ",54.17206479999999,-6.3411749
dunnes_stores,Newry - Old Creamery,"Dunnes Stores, Monaghan Street, Newry, County Down, BT35 6AA",54.1760161,-6.342417999999999
dunnes_stores,Enniscorthy,"Dunnes Stores, The Mill Centre, Barrack Street, Enniscorthy, Co. Wexford, Y21 WP11",52.5029973,-6.569374
dunnes_stores,Cavan - Home,"Dunnes Stores, Main Street, Cavan, Co. Cavan, H12 XK60",53.9901281,-7.360128800000001
dunnes_stores,Kilkenny  - MacDonagh Junction,"Dunnes Stores, MacDonagh Junction Shopping Ctr, Dublin Road, Kilkenny, Co. Kilkenny, R95 K3EC",52.6505023,-7.2330034
dunnes_stores,Cavan - Church Street,"Dunnes Stores, Church Street, Cavan, Co. Cavan, H12 K525",53.9926948,-7.359679199999999
dunnes_stores,Kilkenny - Kieran St,"Dunnes Stores, St Kieran's Street, Kilkenny, Co. Kilkenny, R95 PF82",52.652673,-7.252089000000001
dunnes_stores,Rathdowney,"Dunnes Stores, Johnstown Road, Rathdowney, Co. Laois, R32 DC61",52.84964369999999,-7.5860719
dunnes_stores,Longford,"Dunnes Stores, Dublin Road, Longford, Co. Longford, N39 FK23",53.7256747,-7.786676899999999
dunnes_stores,Monaghan,"Dunnes Stores, Dawson Street, Monaghan, Co. Monaghan, H18 CK74",54.24629210000001,-6.9715089
dunnes_stores,Athlone - Irishtown,"Dunnes Stores, Irishtown, Athlone, Co. Westmeath, N37 HW40",53.4218902,-7.935418599999999
dunnes_stores,Roscrea,"Dunnes Stores, The Malt House, Gaol Road, Roscrea, Co. Tipperary, E53 YK31",52.9527154,-7.796380999999999
dunnes_stores,Athlone - Montree,"Dunnes Stores, Abbey Road, Montree, Athlone, Co. Westmeath, N37 NP54",53.4283779,-7.942283100000001
dunnes_stores,Wexford - Redmond Sq,"Dunnes Stores, Redmond Square, Wexford, Co. Wexford, Y35 FC79",52.3425077,-6.465674
dunnes_stores,Craigavon - Rushmere SC,"Dunnes Stores, Rushmere Shopping Centre, Craigavon, County Armagh, BT64 1AA",54.4500009,-6.3898606
dunnes_stores,Thurles,"Dunnes Stores, Unit 15, Thurles Shopping Centre, Slievenamon Road, Thurles, Co. Tipperary, E41 CD93",52.6750185,-7.811192399999999
dunnes_stores,Lisburn - Bow Street Mall,"Dunnes Stores, Bow Street, Lisburn, County Antrim, BT28 1AW",54.5121002,-6.050752399999999
dunnes_stores,Roscommon,"Dunnes Stores, Mart Road, Roscommon, Co. Roscommon, F42 X095",53.6322975,-8.1844367
dunnes_stores,Waterford - City Sq,"Dunnes Stores, Arundel Square, Waterford, Co. Waterford, X91 KF7V",52.2602474,-7.1092152
dunnes_stores,Waterford - Michael St,"Dunnes Stores, Michael Street, Waterford, Co. Waterford, X91 XK71",52.2602474,-7.1092152
dunnes_stores,Belfast - Forestside SC,"Dunnes Stores, Forestside Shopping Centre, Upper Galwally Road, Belfast, County Antrim, BT8 6FX",54.5628706,-5.9092771
dunnes_stores,Belfast  - Annadale,"Dunnes Stores, Annadale Embankment, Ormeau Road, Belfast, County Antrim, BT7 1AE",54.58183709999999,-5.9232971
dunnes_stores,Belfast - Cornmarket,"Dunnes Stores, 3-11 High Street, Belfast, County Antrim, BT1 2AA",54.5993901,-5.9283079
dunnes_stores,Nenagh - Annsbrook,"Dunnes Stores, Annsbrook, Limerick Road, Nenagh, Co. Tipperary, E45 NX99",52.8613433,-8.214717
dunnes_stores,Enniskillen,"Dunnes Stores, Fairgreen Shopping Centre, Forthill Street, Enniskillen, County Fermanagh, BT74 6JA",54.3441667,-7.630555599999999
dunnes_stores,Clonmel - Davis Road,"Dunnes Stores, Davis Road, Clonmel, Co. Tipperary, E91 D4C2",52.35581029999999,-7.684758100000001
dunnes_stores,Clonmel - Oakville,"Dunnes Stores, Oakville, Kickham Park, Clonmel, Co. Tipperary, E91 YV07",52.3561628,-7.7013873
dunnes_stores,Belfast - Abbey Ctr,"Dunnes Stores, Abbey Centre, Longwood Road, Newtownabbey, County Antrim, BT37 9UH",54.6559379,-5.9169814
dunnes_stores,Omagh - Riverside,"Dunnes Stores, 2 Irishtown Road, Omagh, County Tyrone, BT78 1EY",54.59937679999999,-7.295407299999999
dunnes_stores,Magherafelt,"Dunnes Stores, Meadow Lane Shopping Ctr, Moneymore Road, Magherafelt, County Londonderry, BT45 6PR",54.7540263,-6.611256099999999
dunnes_stores,Tipperary,"Dunnes Stores, Tipp Town Shopping Centre, Limerick Road, Tipperary, Co. Tipperary, E34 P958",52.4788224,-8.1775713
dunnes_stores,Dungarvan,"Dunnes Stores, Shandon, Dungarvan, Co. Waterford, X35 W935",52.0907032,-7.623452399999999
dunnes_stores,Ballymena,"Dunnes Stores, 40 Tower Centre, Wellington Street, Ballymena, County Antrim, BT43 6AH",54.8664808,-6.2764732
dunnes_stores,Limerick - Parkway,"Dunnes Stores, Parkway Shopping Centre, Dublin Road, Limerick, Co. Limerick, V94 5X20",52.662472,-8.597340899999999
dunnes_stores,Limerick - Childers Road,"Dunnes Stores, Unit 5 Childers Retail Park, Childers Road, Limerick, Co. Limerick, V94 FV30",52.65643,-8.59513
dunnes_stores,Limerick - Harveys Quay,"Dunnes Stores, Harvey Quay Shopping Centre, Limerick, Co. Limerick, V94 KHD6",52.6635178,-8.6297328
dunnes_stores,Sligo - Cranmore,"Dunnes Stores, Cranmore Road, Sligo, Co. Sligo, F91 D92Y",54.26895030000001,-8.4670817
dunnes_stores,Limerick - Jetland,"Dunnes Stores, Jetland Centre, Ennis Road, Limerick, Co. Limerick, V94 364H",52.669838,-8.661664000000002
dunnes_stores,Sligo - Wine Street,"Dunnes Stores, Wine St, Sligo, Co. Sligo, F91 ED71",54.271725,-8.479394
dunnes_stores,Galway - Briarhill,"Dunnes Stores, Doughiska Road, Briarhill, Galway, Co. Galway, H91 RH9R",53.2821318,-8.9788155
dunnes_stores,Galway - Terryland,"Dunnes Stores, Terryland Shopping Centre, Bothar Atha Cinn, Galway, Co. Galway, H91 WYF9",53.28366279999999,-9.0463907
dunnes_stores,Galway - Eyre Square,"Dunnes Stores, Eyre Square, Galway, Co. Galway, H91 P6C1",53.2732239,-9.0507578
dunnes_stores,Galway - Edward Square,"Dunnes Stores, William Street, Galway, Co. Galway, H91 PPY1",53.2735811,-9.051527
dunnes_stores,Galway - Westside,"Dunnes Stores, Unit 14 Westside Shopping Centre, Seamus Quirke Rd, Galway, Co. Galway, H91 C791",53.2762892,-9.075935699999999
dunnes_stores,Galway - Knocknacarra,"Dunnes Stores, Galway West Busines Park, Western Distributor Road, Rahoon, Galway, Co. Galway, H91 A00V",53.2756196,-9.092554999999999
dunnes_stores,Shannon,"Dunnes Stores, Skycourt Shopping Centre, Shannon Town Centre, Shannon, Co. Clare, V14 NH74",52.7104578,-8.879648999999999
dunnes_stores,Ennis,"Dunnes Stores, Friars Walk, Ennis, Co. Clare, V95 C893",52.8427645,-8.9796475
dunnes_stores,Derry - Foyleside SC,"Dunnes Stores, Foyleside Shopping Centre, Orchard Street, Derry, County Londonderry, BT48 6XY",54.9942826,-7.3183621
dunnes_stores,Cork - Charleville,"Dunnes Stores, Bakers Road, Charleville, Co. Cork, P56 E634",52.352917,-8.6780008
dunnes_stores,Derry - Springtown,"Dunnes Stores, Springtown Centre, Northland Road, Derry, County Londonderry, BT48 0TU",55.0187731,-7.340599999999999
dunnes_stores,Coleraine - Bannside Wharf,"Dunnes Stores, 1-5 Bannside Wharf, Coleraine, County Londonderry, BT52 1BW",55.1328032,-6.6737136
dunnes_stores,Letterkenny - Forte,"Dunnes Stores, Forte Shopping Centre, Neil T Blaney Road, Letterkenny, Co. Donegal, F92 RD8C",54.9466814,-7.7240481
dunnes_stores,Letterkenny - Main Street,"Dunnes Stores, Old Town Road - Main St, Letterkenny, Co. Donegal, F92 T263",54.945932,-7.740995999999999
dunnes_stores,Castlebar,"Dunnes Stores, Market Street, Castlebar, Co. Mayo, F23 A298",53.8562239,-9.301136399999999
dunnes_stores,Ballina,"Dunnes Stores, Pearse Street, Ballina, Co. Mayo, F26 T8KW",54.1142964,-9.1539797
dunnes_stores,Mallow,"Dunnes Stores, Market Square, William O'Brian Street, Mallow, Co. Cork, P51 DE9F",52.1379256,-8.640947599999999
dunnes_stores,Ballyvolane,"Dunnes Stores, Mayfield Shopping Centre, Ballyhooly Road, Ballyvolane, Co. Cork, T23 VEY8",51.9200364,-8.4537577
